id,text
sym_0,"TYPE: SYMPTOM_DISEASE
DISEASE: Fungal Infection
SYMPTOMS: itching, skin rash, nodal skin eruptions, dischromic  patches
SYMPTOM_SYNONYMS: itching related discomfort, mild itching, severe itching, itching sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Fungal Infection persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_1,"TYPE: SYMPTOM_DISEASE
DISEASE: Hepatitis C
SYMPTOMS: fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history
SYMPTOM_SYNONYMS: tiredness, low energy, exhaustion, lethargy
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis C persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_2,"TYPE: SYMPTOM_DISEASE
DISEASE: Arthritis
SYMPTOMS: muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking
SYMPTOM_SYNONYMS: muscle weakness related discomfort, mild muscle weakness, severe muscle weakness, muscle weakness sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing muscle weakness? | Is the muscle weakness getting worse over time? | Have you taken any medication for muscle weakness? | Do you have any other symptoms along with muscle weakness?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Arthritis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_3,"TYPE: SYMPTOM_DISEASE
DISEASE: Pneumonia
SYMPTOMS: nodal skin eruptions, cough, high fever, breathlessness, yellowing of eyes, chest pain, rusty sputum
SYMPTOM_SYNONYMS: high_fever, cough, breathlessness, chest_pain, rusty_sputum
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_4,"TYPE: SYMPTOM_DISEASE
DISEASE: COVID-19
SYMPTOMS: fatigue, cough, high fever, breathlessness, headache, sinus pressure, extra marital contacts, loss of smell
SYMPTOM_SYNONYMS: high_fever, cough, fatigue, breathlessness, loss_of_smell, headache
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_5,"TYPE: SYMPTOM_DISEASE
DISEASE: Hypoglycemia
SYMPTOMS: vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hypoglycemia persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_6,"TYPE: SYMPTOM_DISEASE
DISEASE: Typhoid
SYMPTOMS: chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain
SYMPTOM_SYNONYMS: chills related discomfort, mild chills, severe chills, chills sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing chills? | Is the chills getting worse over time? | Have you taken any medication for chills? | Do you have any other symptoms along with chills?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Typhoid persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_7,"TYPE: SYMPTOM_DISEASE
DISEASE: Hypoglycemia
SYMPTOMS: vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hypoglycemia persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_8,"TYPE: SYMPTOM_DISEASE
DISEASE: Allergy
SYMPTOMS: continuous sneezing, shivering, chills
SYMPTOM_SYNONYMS: continuous sneezing related discomfort, mild continuous sneezing, severe continuous sneezing, continuous sneezing sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing continuous sneezing? | Is the continuous sneezing getting worse over time? | Have you taken any medication for continuous sneezing? | Do you have any other symptoms along with continuous sneezing?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Allergy persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_9,"TYPE: SYMPTOM_DISEASE
DISEASE: Allergy
SYMPTOMS: continuous sneezing, shivering, chills, watering from eyes
SYMPTOM_SYNONYMS: continuous sneezing related discomfort, mild continuous sneezing, severe continuous sneezing, continuous sneezing sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing continuous sneezing? | Is the continuous sneezing getting worse over time? | Have you taken any medication for continuous sneezing? | Do you have any other symptoms along with continuous sneezing?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Allergy persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
