source,input_text,output_text,normalized_input,structured_text
gretelai/symptom_to_diagnosis,I've been having a lot of pain in my neck and back. I've also been having trouble with my balance and coordination. I've been coughing a lot and my limbs feel weak.,cervical spondylosis,i ve been having a lot of pain in my neck and back i ve also been having trouble with my balance and coordination i ve been coughing a lot and my limbs feel weak,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having a lot of pain in my neck and back. I've also been having trouble with my balance and coordination. I've been coughing a lot and my limbs feel weak.
POSSIBLE_CONDITION: cervical spondylosis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a rash on my face that is getting worse. It is red, inflamed, and has blisters that are bleeding clear pus. It is really painful.",impetigo,i have a rash on my face that is getting worse it is red inflamed and has blisters that are bleeding clear pus it is really painful,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash on my face that is getting worse. It is red, inflamed, and has blisters that are bleeding clear pus. It is really painful.
POSSIBLE_CONDITION: impetigo
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been urinating blood. I sometimes feel sick to my stomach when I urinate. I often feel like I have a fever.,urinary tract infection,i have been urinating blood i sometimes feel sick to my stomach when i urinate i often feel like i have a fever,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been urinating blood. I sometimes feel sick to my stomach when I urinate. I often feel like I have a fever.
POSSIBLE_CONDITION: urinary tract infection
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been having trouble with my muscles and joints. My neck is really tight and my muscles feel weak. I have swollen joints and it is hard to move around without becoming stiff. It is also really uncomfortable to walk.,arthritis,i have been having trouble with my muscles and joints my neck is really tight and my muscles feel weak i have swollen joints and it is hard to move around without becoming stiff it is also really uncomfortable to walk,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having trouble with my muscles and joints. My neck is really tight and my muscles feel weak. I have swollen joints and it is hard to move around without becoming stiff. It is also really uncomfortable to walk.
POSSIBLE_CONDITION: arthritis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been feeling really sick. My body hurts a lot and I have no appetite. I have also developed rashes on my arms and face. The back of my eyes hurt a lot.,dengue,i have been feeling really sick my body hurts a lot and i have no appetite i have also developed rashes on my arms and face the back of my eyes hurt a lot,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been feeling really sick. My body hurts a lot and I have no appetite. I have also developed rashes on my arms and face. The back of my eyes hurt a lot.
POSSIBLE_CONDITION: dengue
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I've been feeling really run down and weak. My throat is sore and I've been coughing a lot. I've also been having chills and a fever.,common cold,i ve been feeling really run down and weak my throat is sore and i ve been coughing a lot i ve also been having chills and a fever,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling really run down and weak. My throat is sore and I've been coughing a lot. I've also been having chills and a fever.
POSSIBLE_CONDITION: common cold
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have rashes all over my body. I also have a high fever, chills, headache, body aches, and pain behind my eyes.",dengue,i have rashes all over my body i also have a high fever chills headache body aches and pain behind my eyes,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have rashes all over my body. I also have a high fever, chills, headache, body aches, and pain behind my eyes.
POSSIBLE_CONDITION: dengue
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have been feeling nauseous and have a constant urge to vomit, which is accompanied with mild fever and headache. I also feel very weak and tired.",dengue,i have been feeling nauseous and have a constant urge to vomit which is accompanied with mild fever and headache i also feel very weak and tired,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been feeling nauseous and have a constant urge to vomit, which is accompanied with mild fever and headache. I also feel very weak and tired.
POSSIBLE_CONDITION: dengue
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a rash around my nose that is red and inflamed. The rash has caused my skin to become dry and flaky, and there is a yellow colored fluid coming out of the sores.",impetigo,i have a rash around my nose that is red and inflamed the rash has caused my skin to become dry and flaky and there is a yellow colored fluid coming out of the sores,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash around my nose that is red and inflamed. The rash has caused my skin to become dry and flaky, and there is a yellow colored fluid coming out of the sores.
POSSIBLE_CONDITION: impetigo
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have a rash on my chest and back and it itches. I also have dry skin that sometimes flakes and leaves marks on my body.,drug reaction,i have a rash on my chest and back and it itches i also have dry skin that sometimes flakes and leaves marks on my body,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash on my chest and back and it itches. I also have dry skin that sometimes flakes and leaves marks on my body.
POSSIBLE_CONDITION: drug reaction
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I've been experiencing stiffness in my neck and my joints have swollen. I've also been experiencing pain when I walk.,arthritis,i ve been experiencing stiffness in my neck and my joints have swollen i ve also been experiencing pain when i walk,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been experiencing stiffness in my neck and my joints have swollen. I've also been experiencing pain when I walk.
POSSIBLE_CONDITION: arthritis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been having a lot of pain in my back and neck. I also have a cough that won't go away and I feel weak and dizzy.,cervical spondylosis,i have been having a lot of pain in my back and neck i also have a cough that won t go away and i feel weak and dizzy,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having a lot of pain in my back and neck. I also have a cough that won't go away and I feel weak and dizzy.
POSSIBLE_CONDITION: cervical spondylosis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have been having back pain, a cough, and weakness in my limbs. My neck is sore and I have been dizzy and have had trouble keeping my balance.",cervical spondylosis,i have been having back pain a cough and weakness in my limbs my neck is sore and i have been dizzy and have had trouble keeping my balance,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having back pain, a cough, and weakness in my limbs. My neck is sore and I have been dizzy and have had trouble keeping my balance.
POSSIBLE_CONDITION: cervical spondylosis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been vomiting and having pelvic pain. My pee sometimes has blood in it and it sometimes smells really bad. I sometimes have trouble falling asleep because of my migraines.,urinary tract infection,i have been vomiting and having pelvic pain my pee sometimes has blood in it and it sometimes smells really bad i sometimes have trouble falling asleep because of my migraines,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been vomiting and having pelvic pain. My pee sometimes has blood in it and it sometimes smells really bad. I sometimes have trouble falling asleep because of my migraines.
POSSIBLE_CONDITION: urinary tract infection
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have a rash on my skin that is itchy and has a different color than the rest of my skin. I also have some firm pimples or breakouts on my skin.,fungal infection,i have a rash on my skin that is itchy and has a different color than the rest of my skin i also have some firm pimples or breakouts on my skin,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash on my skin that is itchy and has a different color than the rest of my skin. I also have some firm pimples or breakouts on my skin.
POSSIBLE_CONDITION: fungal infection
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been really itchy all over my body, and I've been getting chills and vomiting. My fever is really high, and I've been sweating a lot. I also have a headache, and I feel nauseous. My muscles are really sore.",malaria,i ve been really itchy all over my body and i ve been getting chills and vomiting my fever is really high and i ve been sweating a lot i also have a headache and i feel nauseous my muscles are really sore,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been really itchy all over my body, and I've been getting chills and vomiting. My fever is really high, and I've been sweating a lot. I also have a headache, and I feel nauseous. My muscles are really sore.
POSSIBLE_CONDITION: malaria
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I'm always tired, and my mouth tastes terrible. My throat itches, and my muscles burn and ache. Sometimes I have cramps all over my body.",allergy,i m always tired and my mouth tastes terrible my throat itches and my muscles burn and ache sometimes i have cramps all over my body,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I'm always tired, and my mouth tastes terrible. My throat itches, and my muscles burn and ache. Sometimes I have cramps all over my body.
POSSIBLE_CONDITION: allergy
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus.",bronchial asthma,i ve been having a hard time breathing lately i feel like i can t get enough air and my chest feels tight i ve also been coughing a lot and i ve been producing a lot of mucus,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus.
POSSIBLE_CONDITION: bronchial asthma
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have varicose veins in my legs. They are swollen and painful.,varicose veins,i have varicose veins in my legs they are swollen and painful,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have varicose veins in my legs. They are swollen and painful.
POSSIBLE_CONDITION: varicose veins
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I've been feeling really sick. I've been really tired and I just don't feel good. I've had a bad cough and my throat is really sore. My nose is really congested and I have a lot of sinus pressure. I just feel really run down and miserable.,common cold,i ve been feeling really sick i ve been really tired and i just don t feel good i ve had a bad cough and my throat is really sore my nose is really congested and i have a lot of sinus pressure i just feel really run down and miserable,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling really sick. I've been really tired and I just don't feel good. I've had a bad cough and my throat is really sore. My nose is really congested and I have a lot of sinus pressure. I just feel really run down and miserable.
POSSIBLE_CONDITION: common cold
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a rash all over my body that is really itchy. I also have a fever, body aches, headache, and chills.",dengue,i have a rash all over my body that is really itchy i also have a fever body aches headache and chills,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash all over my body that is really itchy. I also have a fever, body aches, headache, and chills.
POSSIBLE_CONDITION: dengue
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have been having headaches for a while now. They are very painful and last for a long time. I also get nausea, vomiting, and sensitivity to light and sound.",migraine,i have been having headaches for a while now they are very painful and last for a long time i also get nausea vomiting and sensitivity to light and sound,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having headaches for a while now. They are very painful and last for a long time. I also get nausea, vomiting, and sensitivity to light and sound.
POSSIBLE_CONDITION: migraine
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been having headaches and migraines. I have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get lightheaded. I think it might be a reaction to my medication.,drug reaction,i have been having headaches and migraines i have been having difficulty sleeping i have been having muscle twitching and tremors sometimes i get lightheaded i think it might be a reaction to my medication,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having headaches and migraines. I have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get lightheaded. I think it might be a reaction to my medication.
POSSIBLE_CONDITION: drug reaction
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been having headaches, chest pain, dizziness, and trouble concentrating. I've also noticed that my balance has been off.",hypertension,i ve been having headaches chest pain dizziness and trouble concentrating i ve also noticed that my balance has been off,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having headaches, chest pain, dizziness, and trouble concentrating. I've also noticed that my balance has been off.
POSSIBLE_CONDITION: hypertension
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus.",bronchial asthma,i have a cough that has been going on for a few days and i feel really weak and tired i have a high fever and my breathing is getting harder i also cough up a lot of mucus,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus.
POSSIBLE_CONDITION: bronchial asthma
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been having a lot of trouble urinating. I feel like I have to go all the time, and when I do, it hurts. My urine is also cloudy and has a strong smell.",urinary tract infection,i ve been having a lot of trouble urinating i feel like i have to go all the time and when i do it hurts my urine is also cloudy and has a strong smell,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having a lot of trouble urinating. I feel like I have to go all the time, and when I do, it hurts. My urine is also cloudy and has a strong smell.
POSSIBLE_CONDITION: urinary tract infection
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have a lot of varicose veins on my legs and they are really painful. I also get cramps in my legs a lot.,varicose veins,i have a lot of varicose veins on my legs and they are really painful i also get cramps in my legs a lot,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a lot of varicose veins on my legs and they are really painful. I also get cramps in my legs a lot.
POSSIBLE_CONDITION: varicose veins
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have heartburn and indigestion. I vomit everything I eat. Food gets stuck in my throat, making it difficult for me to swallow. I have a pain in my upper abdomen.",gastroesophageal reflux disease,i have heartburn and indigestion i vomit everything i eat food gets stuck in my throat making it difficult for me to swallow i have a pain in my upper abdomen,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have heartburn and indigestion. I vomit everything I eat. Food gets stuck in my throat, making it difficult for me to swallow. I have a pain in my upper abdomen.
POSSIBLE_CONDITION: gastroesophageal reflux disease
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been feeling really hot and sweaty, and I've been throwing up. I've also been shivering and my skin is really itchy. I have a headache and my muscles hurt.",malaria,i ve been feeling really hot and sweaty and i ve been throwing up i ve also been shivering and my skin is really itchy i have a headache and my muscles hurt,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling really hot and sweaty, and I've been throwing up. I've also been shivering and my skin is really itchy. I have a headache and my muscles hurt.
POSSIBLE_CONDITION: malaria
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a strong urge to urinate frequently, especially at night. My urine is cloudy and has a strong odor. I also have a fever.",urinary tract infection,i have a strong urge to urinate frequently especially at night my urine is cloudy and has a strong odor i also have a fever,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a strong urge to urinate frequently, especially at night. My urine is cloudy and has a strong odor. I also have a fever.
POSSIBLE_CONDITION: urinary tract infection
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have a fever and feel weak. I have sores on my face that are itchy and uncomfortable. The sores sometimes ooze a yellow fluid.,impetigo,i have a fever and feel weak i have sores on my face that are itchy and uncomfortable the sores sometimes ooze a yellow fluid,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a fever and feel weak. I have sores on my face that are itchy and uncomfortable. The sores sometimes ooze a yellow fluid.
POSSIBLE_CONDITION: impetigo
SOURCE: gretelai/symptom_to_diagnosis"
