id,record_type,lookup_text,structured_text
sym_0,symptom_disease,"itching, skin rash, nodal skin eruptions, dischromic  patches, itching related discomfort, mild itching, severe itching, itching sensation","TYPE: SYMPTOM_DISEASE
DISEASE: Fungal Infection
SYMPTOMS: itching, skin rash, nodal skin eruptions, dischromic  patches
SYMPTOM_SYNONYMS: itching related discomfort, mild itching, severe itching, itching sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Fungal Infection persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_0_triage,symptom_triage,"itching, skin rash, nodal skin eruptions, dischromic  patches, itching related discomfort, mild itching, severe itching, itching sensation","TYPE: SYMPTOM_TRIAGE
PATIENT_PHRASES: itching, skin rash, nodal skin eruptions, dischromic  patches, itching related discomfort, mild itching, severe itching, itching sensation
POSSIBLE_CONDITION: Fungal Infection
SEVERITY_LEVEL: Low
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Fungal Infection persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_1,symptom_disease,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history, tiredness, low energy, exhaustion, lethargy","TYPE: SYMPTOM_DISEASE
DISEASE: Hepatitis C
SYMPTOMS: fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history
SYMPTOM_SYNONYMS: tiredness, low energy, exhaustion, lethargy
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis C persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_1_triage,symptom_triage,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history, tiredness, low energy, exhaustion, lethargy","TYPE: SYMPTOM_TRIAGE
PATIENT_PHRASES: fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history, tiredness, low energy, exhaustion, lethargy
POSSIBLE_CONDITION: Hepatitis C
SEVERITY_LEVEL: Medium
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis C persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_2,symptom_disease,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking, muscle weakness related discomfort, mild muscle weakness, severe muscle weakness, muscle weakness sensation","TYPE: SYMPTOM_DISEASE
DISEASE: Arthritis
SYMPTOMS: muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking
SYMPTOM_SYNONYMS: muscle weakness related discomfort, mild muscle weakness, severe muscle weakness, muscle weakness sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing muscle weakness? | Is the muscle weakness getting worse over time? | Have you taken any medication for muscle weakness? | Do you have any other symptoms along with muscle weakness?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Arthritis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_2_triage,symptom_triage,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking, muscle weakness related discomfort, mild muscle weakness, severe muscle weakness, muscle weakness sensation","TYPE: SYMPTOM_TRIAGE
PATIENT_PHRASES: muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking, muscle weakness related discomfort, mild muscle weakness, severe muscle weakness, muscle weakness sensation
POSSIBLE_CONDITION: Arthritis
SEVERITY_LEVEL: Low
FOLLOW_UP_QUESTIONS: How long have you been experiencing muscle weakness? | Is the muscle weakness getting worse over time? | Have you taken any medication for muscle weakness? | Do you have any other symptoms along with muscle weakness?
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Arthritis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_3,symptom_disease,"nodal skin eruptions, cough, high fever, breathlessness, yellowing of eyes, chest pain, rusty sputum, high fever, cough, breathlessness, chest pain, rusty sputum","TYPE: SYMPTOM_DISEASE
DISEASE: Pneumonia
SYMPTOMS: nodal skin eruptions, cough, high fever, breathlessness, yellowing of eyes, chest pain, rusty sputum
SYMPTOM_SYNONYMS: high fever, cough, breathlessness, chest pain, rusty sputum
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_3_triage,symptom_triage,"nodal skin eruptions, cough, high fever, breathlessness, yellowing of eyes, chest pain, rusty sputum, high fever, cough, breathlessness, chest pain, rusty sputum","TYPE: SYMPTOM_TRIAGE
PATIENT_PHRASES: nodal skin eruptions, cough, high fever, breathlessness, yellowing of eyes, chest pain, rusty sputum, high fever, cough, breathlessness, chest pain, rusty sputum
POSSIBLE_CONDITION: Pneumonia
SEVERITY_LEVEL: Medium
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_4,symptom_disease,"fatigue, cough, high fever, breathlessness, headache, sinus pressure, extra marital contacts, loss of smell, high fever, cough, fatigue, breathlessness, loss of smell, headache","TYPE: SYMPTOM_DISEASE
DISEASE: COVID-19
SYMPTOMS: fatigue, cough, high fever, breathlessness, headache, sinus pressure, extra marital contacts, loss of smell
SYMPTOM_SYNONYMS: high fever, cough, fatigue, breathlessness, loss of smell, headache
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_4_triage,symptom_triage,"fatigue, cough, high fever, breathlessness, headache, sinus pressure, extra marital contacts, loss of smell, high fever, cough, fatigue, breathlessness, loss of smell, headache","TYPE: SYMPTOM_TRIAGE
PATIENT_PHRASES: fatigue, cough, high fever, breathlessness, headache, sinus pressure, extra marital contacts, loss of smell, high fever, cough, fatigue, breathlessness, loss of smell, headache
POSSIBLE_CONDITION: COVID-19
SEVERITY_LEVEL: Medium
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
